accountId,summonerName,tier,rank
-wxYrgdMLLdzMYCVgQMNkySMfd2dxRoAcAnH5LNi3lGK,군인제우,DIAMOND,IV
gm9mEiMhhRngh3g30FzuA_0XmFAQDqEILTcyOi23GAy6,빡겜집중싸움안함,DIAMOND,IV
yyZ3H_sOad1FRaUFjP9niEAwoUlFyi0CTl8Hpymmi0y8,단밤매니저fan,DIAMOND,IV
MC1p-8icTzOskDadtz6vExRQAoe_mau4bCOO2we3AxGz,나는 쫑,DIAMOND,IV
xOJ49iyOMSYwLFyluHf_MbpHCvY9MWK-Dp0yAdKg--ws,고개들고 살자,DIAMOND,IV
Vy15gmLIUG18Kj_hq7BrA2FmvOcBwKB7VaZ7D-S9bOff,하루죙일,DIAMOND,IV
2BUbkGKapbvqZFvb6t74F-TPaU7bbZ7tGKA0NmzUnmu1,정지먹고천국간다,DIAMOND,IV
_Emt1afpYejqQVNIVWi0Y6NoLAIzI4EqTP-YytIGsxFC,일말상초 실화냐,DIAMOND,IV
abVBCpsskVX4h46ikUgQUCHcz7KBFUz_TD6PLnGEqF87,용    나    미,DIAMOND,IV
qLH8msqZGPBT-qVF7__W3P8ucij3wHO8BnHYu2RORNGm,천안꽃오빠,DIAMOND,IV
QiHLjLQt0PhhMQWK3blT7nxzbDhwHp5UnYNYEKL4lggS,9imozzi,DIAMOND,IV
SbK25KTZ38VNqWqjtWcItKbjfL0LI-MxALO17aCa4htx,떤구링,DIAMOND,IV
jrMlzK3NdqXyRVsxgmGJLmpwPvyTrSn21YpaaSQ0BTDA,겜혼자하는편,DIAMOND,IV
01-5095aS39DwnHT2Fq7kK30lOvhAijWeZIJIuuJOCF5,만보짱아버지,DIAMOND,IV
VuTkDDa2UN3psW0HttnDoXxvCNIzbuJy1VDbTMZQwHvW,전프로안건태,DIAMOND,IV
mKtBDiSrBDgZU6_ylpndVABTKtAK8OkAoZ-r9WP_57R1,수확장인,DIAMOND,IV
PmqN98Q95X0hyZWJDrTid1RTetxsVnAVdkd0YR7mUzmh,High on you,DIAMOND,IV
17d7j47ictbONlq0BUa_jeTFg6uCNIMzU1fO2XtNhUHW,캉피 0w0,DIAMOND,IV
ZycnuDW74TWf9MroNNqDf_IuOvrPvleSuxU-JbUl4XGY,어서오세요버스,DIAMOND,IV
_L6wd9x_cQ6IsrF-9q_3JFcRWVN1GD_fHHbqZ0Jy_5h8,서형기,DIAMOND,IV
iSwAl0qxx1EwUI82swRat3n2udv349k5x2ZxeBKB4tAO,한론즈,DIAMOND,IV
0gr9Rjr7D_basvKdJHKCLA101-jiL4jGhZr08Z1sF4BB,geun won,DIAMOND,IV
kAPsDgiSKCfVNFP73WNJOlrQxtdYJM7TzRJCqj-CscOa,나는야 즐갬유저,DIAMOND,IV
sAT4fmkXCO3EhamBiwKnl4X7tJBRNaQiTCvd0ol3lqUa,2001년,DIAMOND,IV
VFDMczMv3l_T4FfS63JPBBwyHCcMjZs-5TNq_qpo4Pzo,프로그램 아칼리,DIAMOND,IV
RWdlhMVO1MdZYAxUilPFZVtgCJXfLSocB1jIe2kI9i5a,귀찮은 녹초,DIAMOND,IV
b5o0A2AZbfT6SRGfv88OrsD-DDZsGV1L8Hhno_8pAfzN,저 쪼,DIAMOND,IV
A3roS6mDvGSOxWQld_2Q_w-SK_N6iFDKggZ5hyM1QUk7,크림슨 박,DIAMOND,IV
iWpL3VHG3v_B3RGbYlFNmTt0OCdAcrdjd3TZCYyNHcix,cydjms02,DIAMOND,IV
o9-9KqZKjYY75bjiql980MTkHFF0Yqk2FPqjdLPsOrwP,20200525 군입대,DIAMOND,IV
QsEJ74qmGjF_JG9AbvKnceN6IuTATpR_XQO8MG6vzH_C,Chopin Etude10 1,DIAMOND,IV
L3KcHQLUwUguTbLdk-sn0HLxam9VE0zcdKvrE-IQhlha,오산대표미드,DIAMOND,IV
EQMJQrER5AaFbBNqiq5qCjEK6cs1snFA9wyMd3xts-Tu,끼끼모니,DIAMOND,IV
2UWWlyKeekiRV-WxuICDph19BOD3NFq94Z8GqOaUENRk,셔니갓,DIAMOND,IV
VDTHDlHl-aOYE-zIZERpQULSW7GDkeplmEiCrkW1hh51,수민이형 잘 가요,DIAMOND,IV
tVtgj-A_Rm1LUl_RTU6856PsvRd0c7_z3BP0qo94e_qx,NMMNMMNMMN,DIAMOND,IV
-7Q3MbNIlEKNFqbJJcwi5foIuR9f89XYizv4AA6CpqTd,10돼지년,DIAMOND,IV
p_l5dnhiC8P-gh5Vxcx7Zet7JFnHS93FGrHmBZ-ut0vp,시류성,DIAMOND,IV
mOhkUndpBJpneXFkyD-4LAEWx15tyzpzGaCcErRcfRoQ,민수챙,DIAMOND,IV
5irsTw3guJH-omYQIkToj3uU2TJEY314uzZCf7pSVcdP,전         수환1,DIAMOND,IV
1z-c0LGbMFOtoQWHdsOSs0oHsElBKx0a0DVXPDMMH2Ww,누 향,DIAMOND,IV
m_QBznesMlGxWmFA6We6uEBnfKkD4UcJn_kUvWglYIBJ,다리홍철,DIAMOND,IV
PHGJ9gJ9tacAACC4vrwMX5OgKDYMFYRoXHv0_-PQyu78,나라 진 도울 우,DIAMOND,IV
